t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
4,30,1,56,0,5,3080,10,2,6,0,11,42,4167,0,1,1
1,9,1,36,0,1,3080,8,2,7,3,16,54,0,3,19,1
1,21,2,27,0,6,3080,1,4,6,3,17,40,10000,0,4,1
2,21,1,47,0,5,3080,7,5,4,2,9,30,25800,0,8,0
1,11,1,82,0,4,3080,5,2,6,3,1,45,3440,0,5,0
1,24,1,45,0,5,3080,1,4,9,4,8,0,12900,0,17,0
1,8,1,57,0,3,5302,1,5,1,4,18,0,35000,0,12,1
1,26,1,49,0,4,3080,6,2,5,2,0,36,0,0,18,0
3,4,1,34,0,1,3080,5,3,7,2,6,56,7740,0,4,0
1,23,2,25,1,5,3080,8,1,4,3,12,30,0,0,19,1
1,2,2,26,0,6,5302,3,7,6,3,16,40,0,0,12,1
1,5,1,37,0,5,3080,3,4,6,3,17,48,15000,0,4,1
1,14,1,53,0,5,3080,5,3,6,3,12,48,8600,0,5,0
1,21,1,43,0,1,3080,5,3,7,2,6,50,7740,0,4,0
2,16,1,41,0,5,3080,8,4,7,3,6,53,10750,0,18,1
2,11,1,49,0,5,3080,6,7,8,3,18,84,0,0,7,1
2,18,2,59,3,5,3080,8,3,6,3,9,40,7525,0,18,1
3,20,1,46,0,5,3080,10,1,4,0,3,28,1720,0,1,1
3,22,1,29,0,5,3080,6,4,8,3,16,60,9890,0,7,1
3,21,1,79,0,5,3080,10,6,2,0,6,12,0,0,1,1
4,5,1,47,0,5,3080,10,2,3,0,9,20,4167,0,1,1
4,11,1,37,0,5,3080,5,7,7,2,9,50,0,0,4,0
4,11,1,37,0,5,3080,5,7,7,2,9,50,0,0,4,0
4,12,1,52,0,1,3080,10,7,6,0,6,48,0,0,1,1
4,12,2,56,4,5,3080,8,1,2,2,6,8,1075,0,18,0
4,13,1,45,0,5,3080,10,2,8,0,12,84,4300,3,1,1
4,13,2,28,3,2,3080,8,2,5,3,12,36,3440,0,18,0
4,16,1,33,0,5,3080,10,4,6,0,6,42,13000,0,1,1
4,16,1,64,0,5,3080,10,6,4,0,2,28,0,0,1,1
4,20,1,53,0,5,3080,5,4,1,2,4,0,10750,0,4,0
4,25,1,41,0,1,3080,5,4,6,2,3,46,10750,0,4,0
4,30,1,55,0,5,3080,10,7,5,0,0,36,0,0,1,1
1,9,1,50,0,1,3080,9,3,7,4,18,50,0,0,12,1
1,9,1,50,0,1,3080,9,3,7,4,18,50,0,0,12,1
1,9,1,50,0,1,3080,9,3,7,4,18,50,0,0,12,1
1,9,1,49,0,5,3080,6,5,8,3,3,72,17200,0,7,0
1,9,2,29,0,6,3080,8,7,7,3,12,56,0,0,19,1
1,9,1,60,0,3,3080,6,5,6,3,17,40,20000,0,6,1
1,15,1,59,0,5,3080,3,4,8,4,12,60,15000,0,8,1
1,15,1,59,0,5,3080,3,4,8,4,12,60,15000,0,8,1
2,15,1,49,0,1,3080,1,2,8,3,16,60,0,3,12,1
2,15,1,49,0,1,3080,1,2,8,3,16,60,0,3,12,1
2,15,1,49,0,1,3080,1,2,8,3,16,60,0,3,12,1
1,15,1,46,0,5,3080,5,4,7,3,9,50,10000,0,5,1
1,15,1,46,0,5,3080,5,4,1,3,6,0,15000,0,18,1
1,15,1,54,0,5,3080,6,2,8,3,6,70,6000,3,7,1
1,14,1,33,0,1,3080,6,7,8,3,12,72,0,0,7,1
1,14,1,33,0,1,3080,6,7,8,3,12,72,0,0,7,1
1,19,1,65,0,5,3080,3,7,6,3,17,40,0,0,6,1
1,19,1,35,0,6,3080,5,7,6,0,17,40,0,0,19,1
1,19,1,38,0,5,3080,1,2,2,2,16,6,4300,0,12,1
1,19,1,52,0,5,3080,3,7,6,4,17,48,0,0,7,1
2,21,1,52,0,2,3080,1,4,6,2,17,48,0,0,4,1
1,31,2,32,2,4,3080,8,1,2,2,9,5,3010,0,18,0
1,31,1,51,0,5,3080,5,4,7,0,12,50,10750,0,4,0
1,7,2,43,0,5,3080,6,1,6,2,12,48,0,2,18,0
1,8,2,32,3,3,5302,6,2,3,2,13,24,6450,0,7,0
1,2,1,63,0,5,5302,1,4,8,3,17,60,25800,0,16,1
1,25,1,55,0,5,3080,5,4,6,2,0,46,10750,0,4,0
1,25,1,60,0,5,3080,5,5,4,2,17,30,21500,0,4,0
1,3,1,54,0,5,3080,10,4,6,0,6,43,0,0,1,1
1,7,1,79,0,4,3080,10,1,3,0,3,24,2500,0,1,1
1,8,1,41,0,5,3080,3,5,6,4,12,48,0,0,4,1
1,14,1,70,0,5,3080,8,7,9,3,9,0,0,0,18,1
1,14,1,33,0,5,3080,1,4,6,3,16,48,12900,0,5,1
